"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2005&tab=annual_emissions&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Tue Mar 17 2020 23:19:44 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"Bluebonnet","TX","--",0,182
"Bluegrass Generating Station","KY",29268,0,14
"Bluffton","IN",511,0,36
"Bluffview","NM",95613,0,53
"Blundell","UT",4748,"--","--"
"Blythe Energy Inc","CA",353173,2,52
"Boardman","OR",3444173,10902,7578
"Boise Cascade International Falls","MN",212941,1527,722
"Bolivar","TN",531,2,25
"Bonanza","UT",3567335,1116,6712
"Boomer Lake Station","OK",875,0,1
"Boralex Sherman LLC","ME","--",19,164
"Borger Plant","TX",4089,13,356
"Bosque County Peaking","TX",789135,4,259
"Boulder Park","WA",8234,0,41
"Boulevard","GA",4,"--","--"
"Bountiful City","UT",3085,0,55
"Bowater Newsprint Calhoun Operation","TN",479335,6034,246
"Bowen","GA",19948202,169165,23810
"Bowline Point","NY",992711,2132,1662
"Bowling Green","OH",194,"--","--"
"Bowling Green Generating Station","OH",1440,"--","--"
"Bowling Green Peaking","OH",922,0,1
"Boydton Plank Road Cogen Plant","VA",3079,0,8
"Bradford Dyeing Association","RI",41206,62,21
"Brady","NV",2976,"--","--"
"Brainerd Public Utilities","MN",1447,"--","--"
"Brame Energy Center","LA",4343678,14093,8160
"Brandon Shores","MD",8215493,37829,10637
"Brandon Station","TX",36638,"--","--"
"Brandy Branch","FL",454558,2,75
"Brandywine Power Facility","MD",251031,3,67
"Branford","CT",611,0,2
"Brawley","CA",133,0,1
"Brayton Point","MA",7377984,29500,9663
"Breese","IL",1259,0,6
"Bremo Bluff","VA",1536735,9887,3267
"Brent Run Generating Station","MI","--",0,176
"Brentwood","NY",52462,0,4
"Brickyard Energy Partners LLC","IL","--",0,336
"Bridgeport Energy Project","CT",1010968,5,160
"Bridgeport Gas Processing Plant","TX",20802,0,497
"Bridgeport Station","CT",2773334,2568,1866
"Bridgewater Power LP","NH",1278,29,144
"Bristol Myers Squibb New Brunswick","NJ",53888,0,170
"Broad River Energy Center","SC",389520,2,129
"Broadway (IN)","IN",17029,0,31
"Broken Bow","NE",989,0,10
"Brookhaven Facility","NY","--",0,164
"Brooklyn","IA",20,0,2
"Brooklyn City North Plant","IA",18,0,1
"Brooklyn Navy Yard Cogeneration","NY",956742,15,62
"Brown University Central Heating","RI",34361,9,3
"Brown Williamson Tobacco","GA",77681,79,60
"Brownsville Peaking Power","TN",9044,0,5
"Brunner Island","PA",9193238,94894,12637
"Brunot Island","PA",10954,0,2
"Brunswick","NV",73,"--","--"
"Brunswick Cellulose","GA",202485,7090,1827
"Brush Generation Facility","CO",11973,"--","--"
"Brush IV","CO",14045,0,10
"Bryan (TX)","TX",134848,3,52
"Bryan Peaking","OH",412,0,5
"Bryant Sugar House","FL","--",52,570
"Buchanan Generation LLC","VA",42619,0,30
"Buck","NC",1687103,8693,2050
"Buckeye Florida LP","FL",110750,5183,1398
"Bucknell University","PA",32166,0,67
"Bucksport Generation LLC","ME",873390,10,206
"Bull Run","TN",5448650,34050,10421
"Bunge Milling Cogen","IL",224953,459,206
"Bunge North America East LLC","IN",98657,214,83
"Bunge Oil","IL",9571,0,28
"Buras","LA",12794,0,10
"Burlingame","KS",328,0,4
"Burlington (CO)","CO",4552,6,25
"Burlington (IA)","IA",1215758,4225,1117
"Burlington (KS)","KS",138,0,1
"Burlington GT","VT",359,0,2
"Burney Forest Products","CA",4104,29,181
"Burney Mountain Power","CA","--",12,67
"Burton","SC",230,0,1
"Burwell","NE",173,0,3
"Bushnell","IL",1361,0,2
"Butler Municipal Power Plant","MO",479,1,9
"Butler-Warner Generation Plant","NC",71788,0,166
"Buxton","NC",1347,2,22
"Buzzard Point","DC",79615,72,431
"C D McIntosh Jr","FL",2946140,9165,6059
"C E Newman","TX",5852,0,3
"C P Kelco San Diego Plant","CA",153850,1,386
"C R Huntley Generating Station","NY",2960728,16905,3781
"C R Wing Cogen Plant","TX",380736,2,460
"C W Burdick","NE",8909,0,4
"CE Leathers","CA",8888,"--","--"
"CE Turbo LLC","CA",1938,"--","--"
"CES Placerita Power Plant","CA",12143,0,114
"CF Industries Yazoo City Complex","MS",2395,"--","--"
"CH Resources Beaver Falls","NY",14755,0,2
"CH Resources Syracuse","NY",5728,0,3
"CID Gas Recovery","IL","--",0,104
"CII Carbon LLC","LA",126907,3990,418
"CIP II/AR Bridgewater Holdings - NJCOE","NJ",28317,1,68
"CITGO Refinery Powerhouse","LA",847832,4,1029
"CNN Center","GA",634,0,2
"CP Crane Power, LLC","MD",2100975,29966,7444
"CPI USA NC Roxboro","NC",243454,1595,244
"CPI USA NC Southport","NC",574424,3678,579
"CSL Behring LLC","IL",35928,0,72
"CSL Gas Recovery","FL","--",1,171
"CSUCI Site Authority","CA",107537,1,274
"CT Resource Rec Authority Facility","CT",333174,27,1082
"Cabot Holyoke","MA",1840,2,3
"Cadillac Renewable Energy","MI","--",48,298
"CalPeak Power Border Peaker Plant","CA",4688,"--","--"
"CalPeak Power Enterprise Peaker Plant","CA",3871,"--","--"
"CalPeak Power Panoche Peaker Plant","CA",2245,"--","--"
"CalPeak Power Vaca Dixon Peaker Plant","CA",2413,"--","--"
"Calcasieu","LA",13678,0,9
"Caledonia","MS",406178,2,75
"Caledonia Power Facility","MS",3961,0,3
"Calhoun Energy Center","AL",137794,11,58
"California Institute of Technology","CA",57092,0,147
"Calistoga Power Plant","CA",14261,"--","--"
"Calumet Energy Team LLC","IL",13230,0,7
"Calvert City","KY",190844,0,45
"Cambria Cogen","PA",827974,3289,858
"Cambridge CT","MN",367,"--","--"
"Camden Plant Holdings LLC","NJ",82281,1,33
"Camden Resource Recovery Facility","NJ",140957,14,522
"Camden South Carolina","SC",253463,71,27
"Cameo","CO",618058,1912,664
"Campbell City","MO",247,0,1
"Campbell Village","NE",1,"--","--"
"Canaday","NE",23965,65,44
"Canadys Steam","SC",2061089,17743,4476
"Canal","MA",3805686,24580,3112
"Cane Island","FL",568244,2,79
"Cane Run","KY",3597897,17111,6387
"Canton North Carolina","NC",1020356,6824,853
"Cape Canaveral","FL",1832382,8987,5679
"Cape Fear","NC",1774773,12364,2967
"Cape Gas Turbine","ME",2008,0,5
"Capitol District Energy Center","CT",1598,0,1
"Capitol Heat and Power","WI",36020,227,177
"Carbon","UT",1443508,4908,3087
"Cardinal","OH",10364600,105096,14382
"Cardinal Cogen","CA",223870,1,616
"Cargill Corn Milling Division","IA",619112,1931,761
"Cargill Corn Wet Milling Plant","TN",337911,2185,5
"Cargill Hammond","IN",55741,0,123
"Cargill Salt","MI",86942,464,319
"Caribou Generation Station","ME",36,"--","--"
"Carl Bailey","AR",79873,200,125
"Carlls Corner","NJ",33176,4,102
"Carlsbad","NM",1202,"--","--"
"Carmi","IL",1456,0,12
"Caro","MI",4,"--","--"
"Carr Street Generating Station","NY",23679,2,7
"Carrollton","MO",1397,0,4
"Carson Cogeneration","CA",191524,1,13
"Carson Ice-Gen Project","CA",188282,2,27
"Carthage","MO",5059,2,82
"Carthage Energy LLC","NY",6622,0,8
"Carville Energy LLC","LA",925551,5,245
"Cascade","IA",56,0,4
"Cascade Creek","MN",6072,0,3
"Casey City of","IL",670,0,2
"Cass County","NE",45669,0,23
"Castleton Energy Center","NY",85625,5,54
"Catalyst Paper Snowflake Mill","AZ",728240,129,969
"Caterpillar","IN",2,"--","--"
"Cayuga","IN",6168711,70436,10489
"Cayuga Operating Company","NY",2209032,2693,2075
"Cecil Lynch","AR",192,"--","--"
"Cedar Bay Generating Company LP","FL",2159304,89,1220
"Cedar Bayou","TX",1266898,6,339
"Cedar Station","NJ",29968,34,22
"Celanese Acetate LLC","VA",886541,6618,181
"Centaur Generator Facility","CA",15456,0,44
"Centennial","AK","--",2,28
"Centerville","IA",14227,6,24
"Central District Wastewater Treat Plant","FL","--",0,402
"Central Energy Plant","FL",59026,0,247
"Central Michigan University","MI",11,1,8
"Central Plant","SC",623,1,14
