"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2002&tab=annual_emissions&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Tue Mar 17 2020 23:20:43 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"Berry Placerita Cogen","CA",193118,1,484
"Bethany","MO",19,"--","--"
"Bethel","AK",30266,47,613
"Bethlehem Energy Center","NY",91929,2,74
"Bethpage Power Plant","NY",249915,0,391
"Big Bend","FL",8459553,10524,26908
"Big Brown","TX",9129775,70634,6536
"Big Cajun 1","LA",52110,1,213
"Big Cajun 1 Peakers","LA",65334,0,174
"Big Cajun 2","LA",10579885,47178,18061
"Big Escambia Creek","AL",5884,"--","--"
"Big Pine","FL",250,0,5
"Big Sandy","KY",5113055,38011,13747
"Big Sandy Peaker Plant","WV",26390,0,38
"Big Spring Texas Refinery","TX",3399,0,8
"Big Stone","SD",3171800,10665,13566
"Binghamton Cogen","NY",15368,"--","--"
"Biodyne Congress","IL","--",0,58
"Biodyne Lyons","IL","--",0,422
"Biodyne Peoria","IL","--",0,483
"Biodyne Springfield","IL","--",0,96
"Biomass One LP","OR","--",15,83
"Birchwood Power","VA",1179180,372,389
"Bird City","KS",19,"--","--"
"Biron Mill","WI",413204,5065,874
"Black Dog","MN",1609610,2786,5903
"Black Hawk Station","TX",1203859,7,715
"Black Hills Ontario Facility","CA",29215,0,81
"Blackburn Landfill Co-Generation","NC","--",0,5
"Blackhawk","WI",19033,0,44
"Blackjack Creek Treating","FL",602,0,2
"Blacks Fork Gas Processing Plant","WY",2459,0,54
"Blackstone Street","MA","--",257,109
"Blanco Compressor Station","NM",16467,0,39
"Blewett","NC",755,1,4
"Block Island","RI",8448,13,168
"Bloomfield","IA",65,0,1
"Blooming Prairie","MN",34,0,1
"Bloomington Power Plant","UT",4370,7,87
"Blossburg","PA",10560,0,33
"Blount Street","WI",549859,6728,1409
"Blue Earth","MN",21,"--","--"
"Blue Lake","MN",6522,10,36
"Blue Valley","MO",175645,1234,87
"Blue Water Gas Plant","LA",6351,0,150
"Bluegrass Generating Station","KY",78360,0,26
"Bluffton","IN",711,0,16
"Blundell","UT",4739,"--","--"
"Boardman","OR",3564356,11124,7621
"Boise Cascade International Falls","MN",213231,1362,756
"Bonanza","UT",3903866,890,6089
"Bonnett","UT",853,"--","--"
"Boomer Lake Station","OK",793,0,1
"Boralex Athens Energy","ME","--",10,91
"Boralex Sherman LLC","ME","--",18,157
"Borden Chemicals Plastics Cogen","LA",59417,0,160
"Borger Plant","TX",5871,11,2743
"Bosque County Peaking","TX",662712,4,189
"Boulder Park","WA",4333,0,101
"Boulevard","GA",389,0,1
"Bountiful City","UT",11479,1,102
"Bowater Newsprint Calhoun Operation","TN",940636,5423,1893
"Bowen","GA",19292128,145762,33839
"Bowline Point","NY",1155354,1234,1841
"Bowling Green","OH",625,1,12
"Bowling Green Generating Station","OH",3752,0,1
"Boydton Plank Road Cogen Plant","VA",2742,12,40
"Bradford Dyeing Association","RI",42171,247,75
"Brainerd Public Utilities","MN",11002,"--","--"
"Brame Energy Center","LA",3810123,12459,7347
"Brandon Shores","MD",7154552,36264,10586
"Brandon Station","TX",85250,0,234
"Brandy Branch","FL",395591,15,169
"Brandywine Power Facility","MD",257602,1,61
"Branford","CT",404,0,3
"Brawley","CA",144,0,1
"Brayton Point","MA",7452011,35919,11495
"Breese","IL",284,0,6
"Bremo Bluff","VA",1589171,12208,4282
"Brent Run Generating Station","MI","--",0,90
"Brentwood","NY",55303,0,7
"Brickyard Energy Partners LLC","IL","--",0,210
"Bridgeport Energy Project","CT",1257807,6,174
"Bridgeport Gas Processing Plant","TX",24069,0,575
"Bridgeport Station","CT",1655947,3711,1575
"Bridgewater Power LP","NH",461,28,112
"Bristol Myers Squibb New Brunswick","NJ",57488,0,158
"Broad River Energy Center","SC",335484,2,106
"Broadway (CA)","CA",67144,0,27
"Broadway (IN)","IN",33256,0,94
"Broken Bow","NE",1649,0,35
"Bronx Zoo","NY",12725,4,322
"Brookhaven Facility","NY","--",0,187
"Brooklyn","IA",115,0,2
"Brooklyn Navy Yard Cogeneration","NY",989300,10,75
"Brown University Central Heating","RI",31118,181,56
"Brown Williamson Tobacco","GA",87660,488,508
"Brownfield","TX",54,0,1
"Brownsville Peaking Power","TN",17739,0,36
"Brunner Island","PA",9011144,62535,14688
"Brunot Island","PA",53004,1,639
"Brunswick","NV",68,0,1
"Brunswick Cellulose","GA",380784,6724,1905
"Brush Generation Facility","CO",87332,0,32
"Brush IV","CO",76345,"--","--"
"Bryan (OH)","OH",558,0,2
"Bryan (TX)","TX",11350,0,21
"Bryant Sugar House","FL",732,27,398
"Buchanan Generation LLC","VA",16941,0,6
"Buck","NC",1243536,6738,1914
"Buckeye Florida LP","FL",92939,4718,1354
"Bucknell University","PA",30483,1,83
"Bucksport Generation LLC","ME",1190036,713,448
"Buffalo Paperboard","NY",24393,"--","--"
"Bull Run","TN",5484154,41373,17567
"Bunge Milling Cogen","IL",277335,459,205
"Bunge North America East LLC","IN",89852,539,467
"Bunge Oil","IL",20866,0,58
"Buras","LA",5262,0,14
"Burlingame","KS",222,0,5
"Burlington (CO)","CO",6257,10,34
"Burlington (IA)","IA",1268057,4773,1140
"Burlington (KS)","KS",1142,0,26
"Burlington GT","VT",931,1,5
"Burney Forest Products","CA",11906,30,207
"Burney Mountain Power","CA","--",12,68
"Burton","SC",2158,0,6
"Burwell","NE",120,0,2
"Bushnell","IL",72,0,1
"Butler Municipal Power Plant","MO",403,1,8
"Butler-Warner Generation Plant","NC",144429,4,411
"Buxton","NC",2900,4,57
"Buzzard Point","DC",57187,58,219
"Buzzard Roost","SC",1542,1,6
"Byxbee Park Sanitary Landfill","CA",1,0,2
"C D McIntosh Jr","FL",3053003,8009,6482
"C E Newman","TX",2251,0,3
"C P Kelco San Diego Plant","CA",146187,1,410
"C R Huntley Generating Station","NY",3269666,35379,6639
"C R Wing Cogen Plant","TX",679724,2,1344
"C W Burdick","NE",32330,0,69
"CC Perry K","IN",322809,96,123
"CE Leathers","CA",8865,"--","--"
"CES Placerita Power Plant","CA",5720,"--","--"
"CF Industries Yazoo City Complex","MS",96021,0,261
"CH Resources Beaver Falls","NY",59794,0,11
"CH Resources Syracuse","NY",62162,2,12
"CID Gas Recovery","IL","--",0,71
"CII Carbon LLC","LA",199540,5117,584
"CIP II/AR Bridgewater Holdings - NJCOE","NJ",28201,1,79
"CITGO Refinery Powerhouse","LA","--",4,991
"CNN Center","GA",76,0,1
"CP Crane Power, LLC","MD",2049202,29381,9745
"CPI USA NC Roxboro","NC",203460,1039,379
"CPI USA NC Southport","NC",501986,2732,886
"CSL Behring LLC","IL",27902,0,76
"CSL Gas Recovery","FL","--",0,62
"CSUCI Site Authority","CA",134551,1,277
"CT Resource Rec Authority Facility","CT",348156,34,1098
"Cabot Holyoke","MA",1643,31,106
"Cadillac Renewable Energy","MI","--",48,298
"CalPeak Power Border Peaker Plant","CA",18362,0,2
"CalPeak Power Enterprise Peaker Plant","CA",18585,0,1
"CalPeak Power Panoche Peaker Plant","CA",13091,0,1
"CalPeak Power Vaca Dixon Peaker Plant","CA",9698,0,0
"CalTex Holdings LP","TX",230248,4,581
"Calcasieu","LA",116423,1,68
"Caledonia Power Facility","MS",8684,0,27
"Calistoga Power Plant","CA",15144,"--","--"
"Calumet","IL",2440,0,7
"Calumet Energy Team LLC","IL",18549,0,2
"Calvert City","KY",196645,1,542
"Cambria Cogen","PA",833697,2419,1050
"Cambridge","NE",46,0,1
"Cambridge CT","MN",368,1,2
"Camden Plant Holdings LLC","NJ",92570,1,33
"Camden Resource Recovery Facility","NJ",138806,15,505
"Camden South Carolina","SC",368153,1012,367
"Cameo","CO",649257,1901,743
"Campbell City","MO",175,0,4
"Campbell Village","NE",5,"--","--"
"Canaday","NE",68938,2,115
"Canadys Steam","SC",2015772,16866,3989
"Canal","MA",3554152,19971,5079
"Cane Island","FL",818847,7,142
"Cane Run","KY",3007603,13594,5690
"Canton North Carolina","NC",1009146,7058,2291
"Cape Canaveral","FL",2216125,9375,8978
"Cape Fear","NC",1769563,10664,2400
"Cape Gas Turbine","ME",485,0,3
"Capitol District Energy Center","CT",87624,1,62
"Capitol Heat and Power","WI",23706,13,12
"Carbon","UT",1413108,6136,3065
"Cardinal","OH",7751449,67813,21209
"Cardinal Cogen","CA",213619,"--","--"
"Cargill Corn Milling Division","IA",620695,1783,761
"Cargill Corn Wet Milling Plant","TN",23471,4695,1311
"Cargill Hammond","IN",111800,1,262
"Cargill Salt","MI",70488,773,409
"Caribou Generation Station","ME",153,0,2
"Carl Bailey","AR",75957,345,134
"Carlls Corner","NJ",29573,0,198
"Carlsbad","NM",0,"--","--"
"Carlyle","IL",260,0,5
"Carmi","IL",357,0,8
"Caro","MI",10,"--","--"
"Carolina Food Processors #2","NC",986,2,20
"Carr Street Generating Station","NY",39689,"--","--"
"Carrollton","MO",1086,1,23
"Carson Cogeneration","CA",169342,1,454
"Carson Ice-Gen Project","CA",225331,2,26
"Carthage","MO",4334,1,99
"Carthage Energy LLC","NY",39170,0,45
"Cascade","IA",116,0,2
"Cascade Creek","MN",22,0,4
"Castleton Energy Center","NY",175734,1,100
"Catalyst Paper Snowflake Mill","AZ",591490,112,849
"Caterpillar","IN",8,"--","--"
"Cayuga","IN",5354690,50455,7051
"Cayuga Operating Company","NY",2167784,4928,3642
"Cecil Lynch","AR",23654,0,49
"Cedar Bay Generating Company LP","FL",2100532,1350,1147
"Cedar Bayou","TX",2192729,11,1706
"Cedar Station","NJ",33255,0,175
"Celanese Acetate LLC","VA",979802,6179,2060
"Centaur Generator Facility","CA",170,0,0
"Centennial","AK",147,0,3
"CenterPoint Energy Field Svs.","LA",3993,"--","--"
"Centerville","IA",1601,2,8
"Central District Wastewater Treat Plant","FL","--",0,432
"Central Energy Plant","FL",136769,1,368
"Central Plant","SC",1238,1,27
"Central Production Facility 1","AK",177377,1,472
"Central Production Facility 2","AK",80176,0,213
"Central Production Facility 3","AK",94234,0,251
"Central Utilities Plant LAX","CA",44088,0,121
"Central Utility Plant","TX",18050,1,419
"Central Wayne Air Quality","MI",102189,10,356
"Century Generating Facility","CA",12714,0,35
"CenturyLink Regional HQ","NC",114,0,2
"Ceredo Generating Station","WV",18949,0,7
"Chalk Cliff Limited","CA",180073,1,500
"Chalk Point LLC","MD",5705662,47651,13894
"Chalmette Refining LLC","LA",272,"--","--"
"Chambers Cogeneration LP","NJ",1945437,1164,1277
"Chambersburg","PA",47707,0,35
"Chamois","MO",532013,1112,1775
"Champion Clean Energy","ME",807540,7,176
"Chaney Dell Plant","OK",10762,0,30
"Channel Energy Center LLC","TX",1448738,5,111
"Channelview Cogeneration Plant","TX",2241576,11,190
"Chanute 2","KS",2848,0,2
"Chanute 3","KS",6831,1,159
"Chappell","NE",21,"--","--"
"Charles P Keller","NY",7286,4,158
"Charles Poletti","NY",1438109,915,1771
"Charles R Lowman","AL",3447615,15549,8766
"Charter Dura-Bar","IL",90,0,2
"Chena 6","AK","--",425,583
"Cherokee","CO",4605119,14476,8596
"Cherokee County Cogen","SC",180143,1,37
"Cherokee Plant","PA",88818,1,205
"Cherry Street","MA",1960,1,44
"Chesapeake","VA",3935144,29342,8694
"Chester Generating Station","PA",3233,5,8
"Chester Operations","PA",592419,0,142
"Chesterfield","VA",8591825,66988,14363
"Chestnut Ridge Gas Recovery","TN","--",0,305
"Cheswick Power Plant","PA",2751351,38118,5227
"Chevak","AK",1564,2,32
"Chevron Oil","MS",1539159,9,217
"Chicago","IL",1609,0,5
"Chicago Baking","IL",1678,0,5
"Chicopee Electric","MA","--",0,139
"Childrens Hospital","CA",5849,0,136
"Chilkat Valley","AK",55,0,1
"Chillicothe","MO",1148,5,3
"Chino Mines","NM",23737,0,57
"Cholla","AZ",6449142,18843,11686
"Chouteau","OK",348783,2,112
"Christiana","DE",3284,0,21
"Chula Vista Energy Center","CA",2861,0,1
"Chula Vista II","CA",3383,0,9
